Empresa,No. Contrato,,folio,Solicitud Atendida,fechaRealizado,calle,Entre Calle 1,Calle 2,colonia,delegacion,GEOLOCALIZACION,Tipo,profundidad,largo,ancho,m2total,latitude,longitude,tipo,VALIDATION_STATUS,ERRORS
JDJ,6,,060065,,14/4/2026,ISABEL LA CATOLICA,JUAN ALVAREZ,GOMEZ FARIAS,SAN SEBASTIAN,SAN SEBASTIAN,"19.28433,-99.64286",SUPERFICIAL,0.07,1.29,0.93,1.20,19.28433,-99.64286,SUPERFICIAL,GREEN,
JDJ,6,,060066,,14/4/2026,ISABEL LA CATOLICA,JUAN ALVAREZ,GOMEZ FARIAS,SAN SEBASTIAN,SAN SEBASTIAN,"19.28433,-99.64287",SUPERFICIAL,0.07,1.56,1.12,1.75,19.28433,-99.64287,SUPERFICIAL,GREEN,
JDJ,6,,060067,,14/4/2026,ISABEL LA CATOLICA,JUAN ALVAREZ,GOMEZ FARIAS,SAN SEBASTIAN,SAN SEBASTIAN,"19.28441,-99.64291",SUPERFICIAL,0.07,1.37,1.42,1.95,19.28441,-99.64291,SUPERFICIAL,GREEN,
JDJ,6,,060068,,14/4/2026,ISABEL LA CATOLICA,JUAN ALVAREZ,GOMEZ FARIAS,SAN SEBASTIAN,SAN SEBASTIAN,"19.28447,-99.64293",SUPERFICIAL,0.07,1.10,1.03,1.13,19.28447,-99.64293,SUPERFICIAL,GREEN,
JDJ,6,,060069,,14/4/2026,ISABEL LA CATOLICA,JUAN ALVAREZ,GOMEZ FARIAS,SAN SEBASTIAN,SAN SEBASTIAN,"19.28454,-99.64291",SUPERFICIAL,0.07,1.50,1.05,1.58,19.28454,-99.64291,SUPERFICIAL,GREEN,
JDJ,6,,060070,,14/4/2026,ISABEL LA CATOLICA,JUAN ALVAREZ,GOMEZ FARIAS,SAN SEBASTIAN,SAN SEBASTIAN,"19.28457,-99.64290",SUPERFICIAL,0.07,1.33,0.83,1.10,19.28457,-99.64290,SUPERFICIAL,GREEN,
JDJ,6,,060071,,14/4/2026,ISABEL LA CATOLICA,JUAN ALVAREZ,GOMEZ FARIAS,SAN SEBASTIAN,SAN SEBASTIAN,"19.28464,-99.69286",SUPERFICIAL,0.07,1.25,0.93,1.16,19.28464,-99.69286,SUPERFICIAL,GREEN,
JDJ,6,,060072,,14/4/2026,ISABEL LA CATOLICA,JUAN ALVAREZ,GOMEZ FARIAS,SAN SEBASTIAN,SAN SEBASTIAN,"19.28468,-99.69287",SUPERFICIAL,0.07,1.00,0.83,0.83,19.28468,-99.69287,SUPERFICIAL,GREEN,
JDJ,6,,060073,,14/4/2026,ISABEL LA CATOLICA,JUAN ALVAREZ,GOMEZ FARIAS,SAN SEBASTIAN,SAN SEBASTIAN,"19.28484,-99.69288",SUPERFICIAL,0.07,1.19,0.77,0.92,19.28484,-99.69288,SUPERFICIAL,GREEN,
JDJ,6,,060074,,14/4/2026,ISABEL LA CATOLICA,JUAN ALVAREZ,GOMEZ FARIAS,SAN SEBASTIAN,SAN SEBASTIAN,"19.28484,-99.64288",SUPERFICIAL,0.07,1.67,0.83,1.39,19.28484,-99.64288,SUPERFICIAL,GREEN,
JDJ,6,,060075,,14/4/2026,ISABEL LA CATOLICA,JUAN ALVAREZ,GOMEZ FARIAS,SAN SEBASTIAN,SAN SEBASTIAN,"19.28494,-99.64291",SUPERFICIAL,0.07,0.98,0.46,0.45,19.28494,-99.64291,SUPERFICIAL,GREEN,
JDJ,6,,060076,,14/4/2026,ISABEL LA CATOLICA,JUAN ALVAREZ,GOMEZ FARIAS,SAN SEBASTIAN,SAN SEBASTIAN,"19.28493,-99.64291",SUPERFICIAL,0.07,1.83,1.10,2.01,19.28493,-99.64291,SUPERFICIAL,GREEN,
JDJ,6,,060077,,14/4/2026,ISABEL LA CATOLICA,JUAN ALVAREZ,GOMEZ FARIAS,SAN SEBASTIAN,SAN SEBASTIAN,"19.28493,-99.64291",SUPERFICIAL,0.07,1.13,0.71,0.80,19.28493,-99.64291,SUPERFICIAL,GREEN,
JDJ,6,,060078,,14/4/2026,ISABEL LA CATOLICA,JUAN ALVAREZ,GOMEZ FARIAS,SAN SEBASTIAN,SAN SEBASTIAN,"19.28495,-99.64291",SUPERFICIAL,0.07,0.93,0.91,0.85,19.28495,-99.64291,SUPERFICIAL,GREEN,
JDJ,6,,060079,,14/4/2026,ISABEL LA CATOLICA,JUAN ALVAREZ,GOMEZ FARIAS,SAN SEBASTIAN,SAN SEBASTIAN,"19.28495,-99.64290",SUPERFICIAL,0.07,0.56,0.52,0.29,19.28495,-99.64290,SUPERFICIAL,GREEN,
JDJ,6,,060080,,14/4/2026,ISABEL LA CATOLICA,JUAN ALVAREZ,GOMEZ FARIAS,SAN SEBASTIAN,SAN SEBASTIAN,"19.28495,-99.64287",SUPERFICIAL,0.07,1.86,1.30,2.42,19.28495,-99.64287,SUPERFICIAL,GREEN,
JDJ,6,,060081,,14/4/2026,ISABEL LA CATOLICA,JUAN ALVAREZ,GOMEZ FARIAS,SAN SEBASTIAN,SAN SEBASTIAN,"19.28502,-99.64291",SUPERFICIAL,0.07,1.46,0.68,0.99,19.28502,-99.64291,SUPERFICIAL,GREEN,
JDJ,6,,060082,,14/4/2026,ISABEL LA CATOLICA,JUAN ALVAREZ,GOMEZ FARIAS,SAN SEBASTIAN,SAN SEBASTIAN,"19.28503,-99.64290",SUPERFICIAL,0.07,3.70,1.56,5.77,19.28503,-99.64290,SUPERFICIAL,GREEN,
JDJ,6,,060083,,14/4/2026,ISABEL LA CATOLICA,JUAN ALVAREZ,GOMEZ FARIAS,SAN SEBASTIAN,SAN SEBASTIAN,"19.28513,-99.64285",SUPERFICIAL,0.07,2.08,1.20,2.50,19.28513,-99.64285,SUPERFICIAL,GREEN,
JDJ,6,,060084,,14/4/2026,ISABEL LA CATOLICA,JUAN ALVAREZ,GOMEZ FARIAS,SAN SEBASTIAN,SAN SEBASTIAN,"19.28526,-99.64288",SUPERFICIAL,0.07,2.19,1.78,3.90,19.28526,-99.64288,SUPERFICIAL,GREEN,
JDJ,6,,060085,,14/4/2026,ISABEL LA CATOLICA,JUAN ALVAREZ,GOMEZ FARIAS,SAN SEBASTIAN,SAN SEBASTIAN,"19.28527,-99.64289",SUPERFICIAL,0.07,1.19,0.71,0.84,19.28527,-99.64289,SUPERFICIAL,GREEN,
