UNIVERSIDAD - 07 - DOMAJA,,,,,,,,,,,,,,,,,,,
Empresa,No. Contrato,,folio,OBSERVACIONES,Solicitud Atendida,,fechaRealizado,,calle,Entre Calle 1,Calle 2,colonia,delegacion,GEOLOCALIZACION,Tipo,profundidad,largo,ancho,m2total
DOMAJA ,07,,070001,,,,26/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278920, -99.651330",PROFUNDO,0.10,2.33,2.46,5.73
DOMAJA ,07,,070002,,,,26/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278890, -99.651330",PROFUNDO,0.10,2.40,2.21,5.30
DOMAJA ,07,,070003,,,,26/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278629, -99.651201",PROFUNDO,0.10,3.70,2.48,9.18
DOMAJA ,07,,070004,,,,26/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278629, -99.651201",PROFUNDO,0.10,1.73,4.21,7.28
DOMAJA ,07,,070005,,,,26/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278601, -99.651195",PROFUNDO,0.10,1.40,1.54,2.16
DOMAJA ,07,,070006,,,,26/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278576, -99.651184",PROFUNDO,0.10,1.15,1.10,1.27
DOMAJA ,07,,070007,,,,26/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278557, -99.651176",PROFUNDO,0.10,1.60,1.65,2.64
DOMAJA ,07,,070008,,,,26/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278557, -99.651176",PROFUNDO,0.10,1.78,1.83,3.26
DOMAJA ,07,,070009,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278541, -99.651167",PROFUNDO,0.10,1.80,2.23,4.01
DOMAJA ,07,,070010,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278541, -99.651167",PROFUNDO,0.10,1.48,1.75,2.59
DOMAJA ,07,,070011,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278548, -99.651239",PROFUNDO,0.10,1.97,2.24,4.41
DOMAJA ,07,,070012,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278528, -99.651162",PROFUNDO,0.10,1.86,1.30,2.42
DOMAJA ,07,,070013,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278528, -99.651162",PROFUNDO,0.10,1.38,1.65,2.28
DOMAJA ,07,,070014,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278483, -99.651141",PROFUNDO,0.10,1.24,1.48,1.84
DOMAJA ,07,,070015,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278483, -99.651141",PROFUNDO,0.10,1.26,1.24,1.56
DOMAJA ,07,,070016,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278406, -99.651111",PROFUNDO,0.10,3.25,3.88,12.61
DOMAJA ,07,,070017,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278430, -99.651190",PROFUNDO,0.10,2.28,2.68,6.11
DOMAJA ,07,,070018,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278404, -99.651180",PROFUNDO,0.10,1.17,1.12,1.31
DOMAJA ,07,,070019,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278300, -99.651133",PROFUNDO,0.10,2.21,2.93,6.48
DOMAJA ,07,,070020,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278241, -99.651109",PROFUNDO,0.10,1.60,3.80,6.08
DOMAJA ,07,,070021,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278241, -99.651109",PROFUNDO,0.10,2.51,2.03,5.10
DOMAJA ,07,,070022,,,,27/3/2026,,AV. PROFESOR HERIBERTO ENRIQUEZ,AV. VENUSTIANO CARRANZA,AV. PONIENTE JUAN FERNANDEZ ALBARRAN,UNIVERSIDAD,UNIVERSIDAD,"19.278173, -99.651007",PROFUNDO,0.10,1.48,2.70,4.00
