EL CERRILLO VISTA HERMOSA - 44 - TERRA,,,,,,,,,,,,,,,,,,,
Empresa,No. Contrato,,folio,,Solicitud Atendida,,fechaRealizado,,CALLE,Entre Calle 1,Calle 2,colonia,delegacion,GEOLOCALIZACION,Tipo,profundidad,largo,ancho,m2total
TERRA,44,,440001,,,,25/3/2026,,DEPORTIVA,LERDO,ISIDRO FABELA,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.323805, -99.545681",SUPERFICIAL,0.07,2.53,2.16,5.46
TERRA,44,,440002,,,,25/3/2026,,DEPORTIVA,LERDO,ISIDRO FABELA,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.323738, -99.545693",SUPERFICIAL,0.07,1.33,1.00,1.33
TERRA,44,,440003,,,,25/3/2026,,DEPORTIVA,LERDO,ISIDRO FABELA,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.323711, -99.545658",SUPERFICIAL,0.07,1.85,0.86,1.59
TERRA,44,,440004,,,,25/3/2026,,DEPORTIVA,LERDO,ISIDRO FABELA,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.323604, -99.545698",SUPERFICIAL,0.07,1.27,1.12,1.42
TERRA,44,,440005,,,,25/3/2026,,DEPORTIVA,LERDO,ISIDRO FABELA,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.323693, -99.545630",SUPERFICIAL,0.07,4.22,0.68,2.87
TERRA,44,,440006,,,,25/3/2026,,DEPORTIVA,LERDO,ISIDRO FABELA,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.323496, -99.545715",SUPERFICIAL,0.07,1.17,1.07,1.25
TERRA,44,,440007,,,,25/3/2026,,DEPORTIVA,LERDO,ISIDRO FABELA,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.323613, -99.545643",SUPERFICIAL,0.07,1.65,1.44,2.38
TERRA,44,,440008,,,,25/3/2026,,DEPORTIVA,LERDO,ISIDRO FABELA,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.323655, -99.545707",SUPERFICIAL,0.07,1.67,1.44,2.40
TERRA,44,,440009,,,,25/3/2026,,DEPORTIVA,LERDO,ISIDRO FABELA,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.323450, -99.545685",SUPERFICIAL,0.07,1.92,1.04,2.00
TERRA,44,,440010,,,,25/3/2026,,DEPORTIVA,ISIDRO FABELA,REFORMA,EL CERRILLO,EL CERRILLO VISTA HERMOSA,"19.322791, -99.545686",SUPERFICIAL,0.07,1.17,1.09,1.28
