ID,EMPRESA,idEmpresa,idResponsable,idDocRef,tipoDocRef,folioRef,idBacheo,idDelegacion,fecha,estatus,folio,latitude,longitude,GEOLOCALIZACION,calle,delegacion,colonia,tipo,largo,ancho,profundidad,m2total
1,ALSAFI,,,,ORDEN,010001,,,25/3/26,T,010001,19.2945277,-99.6475136,"19.2945277, -99.6475136",JOSEFA ORTIZ DE DOMINGUEZ,CENTRO HISTORICO,SANTA CLARA,PROFUNDO,2.3,1.4,0.1,3.22
1,ALSAFI,,,,ORDEN,010002,,,25/3/26,T,010002,19.2944755,-99.6474961,"19.2944755, -99.6474961",JOSEFA ORTIZ DE DOMINGUEZ,CENTRO HISTORICO,SANTA CLARA,PROFUNDO,2,1.2,0.1,2.40
1,ALSAFI,,,,ORDEN,010003,,,25/3/26,T,010003,19.294453,-99.6474851,"19.2944530, -99.6474851",JOSEFA ORTIZ DE DOMINGUEZ,CENTRO HISTORICO,SANTA CLARA,PROFUNDO,1.9,1.7,0.1,3.23
1,ALSAFI,,,,ORDEN,010004,,,25/3/26,T,010004,19.2943999,-99.6474438,"19.2943999, -99.6474438",JOSEFA ORTIZ DE DOMINGUEZ,CENTRO HISTORICO,SANTA CLARA,PROFUNDO,3.9,2.5,0.1,9.75
1,ALSAFI,,,,ORDEN,010005,,,25/3/26,T,010005,19.2942945,-99.6474317,"19.2942945, -99.6474317",JOSEFA ORTIZ DE DOMINGUEZ,CENTRO HISTORICO,SANTA CLARA,PROFUNDO,3.3,3,0.1,9.90
1,ALSAFI,,,,ORDEN,010006,,,25/3/26,T,010006,19.2943147,-99.6474324,"19.2943147, -99.6474324",JOSEFA ORTIZ DE DOMINGUEZ,CENTRO HISTORICO,SANTA CLARA,PROFUNDO,4.6,3,0.1,13.80
1,ALSAFI,,,,ORDEN,010007,,,25/3/26,T,010007,19.2942505,-99.647423,"19.2942505, -99.6474230",JOSEFA ORTIZ DE DOMINGUEZ,CENTRO HISTORICO,SANTA CLARA,PROFUNDO,2.3,1.7,0.1,3.91
1,ALSAFI,,,,ORDEN,010008,,,25/3/26,T,010008,19.29421,-99.6474059,"19.2942100, -99.6474059",JOSEFA ORTIZ DE DOMINGUEZ,CENTRO HISTORICO,SANTA CLARA,PROFUNDO,1.3,1.2,0.1,1.56
1,ALSAFI,,,,ORDEN,010009,,,25/3/26,T,010009,19.2941913,-99.647366,"19.2941913, -99.6473660",JOSEFA ORTIZ DE DOMINGUEZ,CENTRO HISTORICO,SANTA CLARA,PROFUNDO,0.9,0.9,0.1,0.81
1,ALSAFI,,,,ORDEN,010010,,,25/3/26,T,010010,19.2941679,-99.6473885,"19.2941679, -99.6473885",JOSEFA ORTIZ DE DOMINGUEZ,CENTRO HISTORICO,SANTA CLARA,PROFUNDO,1.2,1.1,0.1,1.32
